pedido_id,data_pedido,cliente_id,cidade,estado,categoria,produto,quantidade,preco_unitario,valor_total,desconto,valor_final,forma_pagamento,status
PED00055,2024-05-12,CLI5543,Curitiba,PR,Alimentos,Whey Protein 2kg,2,238.98,477.96,0.0,477.96,pix,entregue
PED00056,2024-05-19,CLI6238,Salvador,BA,Casa e Jardim,Aspirador Robo,4,646.49,2585.96,0.0,2585.96,pix,entregue
PED00057,2024-04-19,CLI7797,Rio de Janeiro,RJ,Calçados,Tenis Nike,2,384.06,768.12,0.0,768.12,pix,entregue
PED00058,2024-10-26,CLI1320,Florianópolis,SC,Alimentos,Whey Protein 2kg,4,129.96,519.84,30.37,489.47,pix,entregue
PED00059,2024-08-02,CLI9947,Manaus,AM,Brinquedos,LEGO City,3,289.58,868.74,0.0,868.74,pix,entregue
PED00060,2024-06-21,CLI7624,Goiânia,GO,Brinquedos,LEGO City,3,330.75,992.25,0.0,992.25,boleto,entregue
PED00061,2024-12-05,CLI2375,São Paulo,SP,Brinquedos,LEGO City,5,360.24,1801.2,159.92,1641.28,boleto,entregue
PED00062,2024-04-18,CLI6355,Recife,PE,Calçados,Sandalia Havaianas,2,33.02,66.04,0.0,66.04,cartão débito,processando
PED00063,2024-01-10,CLI9837,Florianópolis,SC,Livros,Python para Dados,4,100.18,400.72,0.0,400.72,cartão crédito,entregue
PED00064,2024-05-06,CLI1333,Curitiba,PR,Casa e Jardim,Vaso Decorativo,1,102.5,102.5,11.6,90.9,pix,entregue
PED00065,2024-04-21,CLI5198,Recife,PE,Casa e Jardim,Jogo de Panelas,4,317.36,1269.44,0.0,1269.44,cartão débito,entregue
PED00066,2024-06-08,CLI1420,Rio de Janeiro,RJ,Informática,SSD 1TB,1,611.12,611.12,0.0,611.12,cartão débito,cancelado
PED00067,2024-02-22,CLI5941,Florianópolis,SC,Livros,Python para Dados,2,86.08,172.16,16.2,155.96,boleto,cancelado
PED00068,2024-07-08,CLI9289,Rio de Janeiro,RJ,Roupas,Vestido Floral,1,155.97,155.97,0.0,155.97,boleto,entregue
PED00069,2024-08-23,CLI3506,Florianópolis,SC,Eletrônicos,Fone Bluetooth,4,176.38,705.52,67.26,638.26,pix,entregue
PED00070,2024-08-26,CLI5397,Fortaleza,CE,Alimentos,Azeite Importado,3,70.8,212.4,24.68,187.72,cartão débito,processando
PED00071,2024-08-25,CLI7209,Belém,PA,Casa e Jardim,Jogo de Panelas,3,370.41,1111.23,0.0,1111.23,cartão débito,entregue
PED00072,2024-05-12,CLI5581,Salvador,BA,Brinquedos,Boneca Barbie,2,138.51,277.02,0.0,277.02,pix,em transporte
PED00073,2024-05-03,CLI7658,Florianópolis,SC,Esporte,Tenis Running,1,506.65,506.65,0.0,506.65,pix,cancelado
PED00074,2024-01-09,CLI5820,Rio de Janeiro,RJ,Casa e Jardim,Vaso Decorativo,4,91.67,366.68,0.0,366.68,cartão crédito,entregue
PED00075,2024-06-25,CLI6419,Fortaleza,CE,Casa e Jardim,Aspirador Robo,5,821.41,4107.05,0.0,4107.05,cartão débito,em transporte
PED00076,2024-04-08,CLI2958,Salvador,BA,Brinquedos,Boneca Barbie,3,110.17,330.51,0.0,330.51,boleto,cancelado
PED00077,2024-10-28,CLI5636,Manaus,AM,Calçados,Tenis Nike,2,508.51,1017.02,0.0,1017.02,cartão crédito,processando
PED00078,2024-12-28,CLI3073,Manaus,AM,Casa e Jardim,Aspirador Robo,2,816.53,1633.06,0.0,1633.06,cartão débito,entregue
PED00079,2024-09-08,CLI1200,Rio de Janeiro,RJ,Eletrônicos,Smart TV 50pol,3,2776.38,8329.14,0.0,8329.14,pix,entregue
PED00080,2024-09-01,CLI2070,Rio de Janeiro,RJ,Brinquedos,Boneca Barbie,4,120.88,483.52,18.31,465.21,pix,entregue
PED00081,2024-02-13,CLI2940,Curitiba,PR,Roupas,Vestido Floral,1,118.83,118.83,16.92,101.91,pix,processando
PED00082,2024-09-24,CLI8381,Fortaleza,CE,Livros,Sapiens,5,79.54,397.7,0.0,397.7,pix,entregue
PED00083,2024-02-20,CLI4457,Curitiba,PR,Informática,Teclado Mecanico,3,427.45,1282.35,0.0,1282.35,cartão débito,em transporte
PED00084,2024-01-02,CLI8381,Fortaleza,CE,Roupas,Camiseta Polo,2,75.64,151.28,0.0,151.28,boleto,cancelado
PED00085,2024-08-20,CLI4824,Rio de Janeiro,RJ,Brinquedos,Boneca Barbie,1,107.78,107.78,11.37,96.41,cartão débito,processando
PED00086,2024-11-27,CLI5352,Belo Horizonte,MG,Informática,SSD 1TB,2,470.06,940.12,0.0,940.12,cartão crédito,entregue
PED00087,2024-08-12,CLI8679,Rio de Janeiro,RJ,Eletrônicos,Smartphone Samsung,3,2568.6,7705.8,1064.78,6641.02,boleto,entregue
PED00088,2024-11-02,CLI8078,São Paulo,SP,Livros,Python para Dados,5,123.2,616.0,0.0,616.0,boleto,entregue
PED00089,2024-10-21,CLI1339,Belém,PA,Informática,Teclado Mecanico,1,236.53,236.53,29.66,206.87,boleto,processando
PED00090,2024-09-22,CLI8245,Goiânia,GO,Esporte,Tenis Running,1,605.24,605.24,0.0,605.24,cartão débito,entregue
PED00091,2024-07-28,CLI6260,Salvador,BA,Informática,Teclado Mecanico,4,587.62,2350.48,0.0,2350.48,boleto,entregue
PED00092,2024-07-24,CLI1601,Manaus,AM,Calçados,Sandalia Havaianas,4,71.62,286.48,0.0,286.48,pix,entregue
PED00093,2024-01-01,CLI9889,Goiânia,GO,Beleza,Kit Skincare,3,93.91,281.73,36.55,245.18,pix,entregue
PED00094,2024-01-27,CLI5375,Curitiba,PR,Eletrônicos,Smartphone Samsung,5,2032.09,10160.45,953.17,9207.28,pix,entregue
PED00095,2024-05-02,CLI3594,Florianópolis,SC,Esporte,Kit Musculacao,4,248.57,994.28,90.81,903.47,cartão débito,cancelado
PED00096,2024-08-24,CLI3522,Rio de Janeiro,RJ,Eletrônicos,Smart TV 50pol,4,1930.49,7721.96,1057.44,6664.52,pix,em transporte
PED00097,2024-08-29,CLI8483,Curitiba,PR,Esporte,Tenis Running,3,466.2,1398.6,0.0,1398.6,pix,entregue
PED00098,2024-05-21,CLI6568,Fortaleza,CE,Livros,O Senhor dos Aneis,5,90.49,452.45,58.64,393.81,pix,entregue
PED00099,2024-12-03,CLI3434,Recife,PE,Eletrônicos,Fone Bluetooth,3,359.37,1078.11,0.0,1078.11,pix,cancelado
PED00100,2024-08-21,CLI4090,Salvador,BA,Brinquedos,Boneca Barbie,3,146.23,438.69,0.0,438.69,boleto,entregue
PED00101,2024-06-11,CLI8749,Florianópolis,SC,Informática,Teclado Mecanico,2,542.41,1084.82,0.0,1084.82,boleto,processando
PED00102,2024-09-14,CLI6439,Belém,PA,Livros,Python para Dados,2,119.63,239.26,0.0,239.26,cartão crédito,processando
PED00103,2024-03-14,CLI3529,Fortaleza,CE,Brinquedos,LEGO City,5,473.13,2365.65,0.0,2365.65,cartão crédito,entregue
PED00104,2024-12-11,CLI7226,Manaus,AM,Esporte,Kit Musculacao,5,477.08,2385.4,304.77,2080.63,cartão débito,em transporte
PED00105,2024-12-16,CLI4727,Porto Alegre,RS,Brinquedos,Carrinho Hot Wheels,1,46.61,46.61,0.0,46.61,boleto,entregue
PED00106,2024-01-24,CLI1919,Salvador,BA,Livros,O Senhor dos Aneis,1,86.62,86.62,11.74,74.88,cartão débito,entregue
PED00107,2024-12-15,CLI3785,Belo Horizonte,MG,Beleza,Kit Skincare,2,109.3,218.6,0.0,218.6,cartão crédito,entregue
PED00108,2024-10-25,CLI4804,Belo Horizonte,MG,Informática,Teclado Mecanico,5,473.25,2366.25,0.0,2366.25,pix,em transporte
PED00109,2024-05-27,CLI9955,Goiânia,GO,Esporte,Kit Musculacao,3,466.74,1400.22,97.72,1302.5,cartão crédito,entregue
PED00110,2024-08-21,CLI4263,Porto Alegre,RS,Brinquedos,Boneca Barbie,5,115.9,579.5,60.01,519.49,pix,processando
PED00111,2024-05-31,CLI5837,Florianópolis,SC,Brinquedos,LEGO City,2,314.41,628.82,0.0,628.82,cartão crédito,processando
PED00112,2024-01-26,CLI9138,Belém,PA,Livros,Python para Dados,1,125.27,125.27,13.99,111.28,cartão débito,processando
PED00113,2024-05-08,CLI3240,Goiânia,GO,Casa e Jardim,Vaso Decorativo,3,57.52,172.56,0.0,172.56,boleto,entregue
PED00114,2024-03-08,CLI5835,Rio de Janeiro,RJ,Eletrônicos,Fone Bluetooth,4,158.34,633.36,0.0,633.36,cartão débito,em transporte
PED00115,2024-07-06,CLI9221,Manaus,AM,Livros,O Senhor dos Aneis,2,67.93,135.86,0.0,135.86,cartão débito,processando
PED00116,2024-06-22,CLI8673,Rio de Janeiro,RJ,Calçados,Sandalia Havaianas,4,88.04,352.16,0.0,352.16,cartão crédito,entregue
PED00117,2024-07-21,CLI5332,São Paulo,SP,Casa e Jardim,Vaso Decorativo,4,117.38,469.52,25.76,443.76,pix,entregue
PED00118,2024-02-25,CLI4830,Goiânia,GO,Brinquedos,Boneca Barbie,3,150.15,450.45,63.53,386.92,pix,entregue
PED00119,2024-02-02,CLI8606,Goiânia,GO,Informática,SSD 1TB,3,666.1,1998.3,0.0,1998.3,boleto,entregue
PED00120,2024-09-09,CLI2592,Rio de Janeiro,RJ,Livros,O Senhor dos Aneis,2,62.72,125.44,0.0,125.44,cartão crédito,cancelado
PED00121,2024-10-03,CLI3531,Fortaleza,CE,Calçados,Sandalia Havaianas,4,52.26,209.04,21.84,187.2,pix,em transporte
PED00122,2024-07-08,CLI8264,Curitiba,PR,Roupas,Calça Jeans,5,149.38,746.9,3.67,743.23,pix,entregue
PED00123,2024-07-22,CLI4109,Porto Alegre,RS,Beleza,Perfume Importado,3,245.23,735.69,39.58,696.11,cartão crédito,processando
PED00124,2024-01-11,CLI6464,São Paulo,SP,Brinquedos,LEGO City,2,392.51,785.02,0.0,785.02,cartão crédito,entregue
PED00125,2024-10-27,CLI4817,Curitiba,PR,Informática,Mouse Gamer,1,310.86,310.86,0.0,310.86,cartão débito,processando
PED00126,2024-10-03,CLI3858,Porto Alegre,RS,Calçados,Bota Couro,1,283.18,283.18,41.95,241.23,cartão crédito,em transporte
PED00127,2024-01-09,CLI5347,Belo Horizonte,MG,Eletrônicos,Smartphone Samsung,1,2023.96,2023.96,178.77,1845.19,cartão crédito,entregue
PED00128,2024-07-04,CLI2786,Manaus,AM,Livros,Sapiens,1,77.28,77.28,0.0,77.28,pix,cancelado
PED00129,2024-06-03,CLI1510,Recife,PE,Casa e Jardim,Vaso Decorativo,1,98.18,98.18,9.7,88.48,cartão crédito,entregue
PED00130,2024-02-11,CLI3430,Salvador,BA,Livros,Python para Dados,1,119.22,119.22,1.31,117.91,cartão crédito,entregue
PED00131,2024-11-01,CLI5831,Manaus,AM,Esporte,Tenis Running,5,519.34,2596.7,0.0,2596.7,pix,cancelado
PED00132,2024-12-01,CLI4522,Goiânia,GO,Informática,Teclado Mecanico,1,517.24,517.24,0.0,517.24,pix,entregue
PED00133,2024-02-18,CLI7992,Salvador,BA,Casa e Jardim,Aspirador Robo,3,1096.45,3289.35,0.0,3289.35,cartão débito,em transporte
PED00134,2024-02-16,CLI2527,Rio de Janeiro,RJ,Esporte,Kit Musculacao,2,474.73,949.46,0.0,949.46,pix,entregue
PED00135,2024-12-09,CLI7730,Rio de Janeiro,RJ,Beleza,Perfume Importado,5,133.8,669.0,56.36,612.64,cartão débito,processando
PED00136,2024-10-22,CLI4485,Manaus,AM,Livros,Sapiens,1,88.42,88.42,4.66,83.76,cartão crédito,em transporte
PED00137,2024-02-28,CLI4705,Porto Alegre,RS,Brinquedos,LEGO City,1,305.03,305.03,0.0,305.03,pix,processando
PED00138,2024-11-07,CLI5381,Goiânia,GO,Alimentos,Azeite Importado,5,73.75,368.75,0.0,368.75,cartão crédito,entregue
PED00139,2024-04-02,CLI7566,Belo Horizonte,MG,Esporte,Tenis Running,3,668.62,2005.86,0.0,2005.86,cartão crédito,entregue
PED00140,2024-06-23,CLI7062,Belo Horizonte,MG,Eletrônicos,Smartphone Samsung,5,1694.81,8474.05,0.0,8474.05,cartão débito,em transporte
PED00141,2024-03-21,CLI1815,Belém,PA,Beleza,Secador Profissional,5,175.49,877.45,0.0,877.45,boleto,entregue
PED00142,2024-05-19,CLI9394,Curitiba,PR,Esporte,Kit Musculacao,4,394.26,1577.04,0.0,1577.04,cartão crédito,entregue
PED00143,2024-09-26,CLI6053,Goiânia,GO,Livros,O Senhor dos Aneis,3,100.69,302.07,0.0,302.07,cartão crédito,entregue
PED00144,2024-04-18,CLI5186,Belo Horizonte,MG,Livros,Sapiens,1,40.38,40.38,0.0,40.38,cartão débito,entregue
PED00145,2024-07-13,CLI4770,Manaus,AM,Roupas,Camiseta Polo,4,127.23,508.92,0.0,508.92,pix,cancelado
PED00146,2024-01-10,CLI2275,Recife,PE,Beleza,Perfume Importado,4,318.21,1272.84,0.0,1272.84,cartão débito,cancelado
PED00147,2024-02-28,CLI1341,Fortaleza,CE,Livros,Sapiens,4,75.47,301.88,0.0,301.88,cartão débito,entregue
PED00148,2024-10-28,CLI9584,Fortaleza,CE,Informática,Teclado Mecanico,3,235.25,705.75,25.76,679.99,cartão crédito,entregue
PED00149,2024-11-20,CLI9693,Rio de Janeiro,RJ,Esporte,Tenis Running,3,388.63,1165.89,13.36,1152.53,pix,entregue
PED00150,2024-04-11,CLI3504,Belo Horizonte,MG,Beleza,Kit Skincare,2,108.35,216.7,0.0,216.7,boleto,entregue
PED00151,2024-10-23,CLI6295,Recife,PE,Calçados,Bota Couro,4,339.19,1356.76,0.0,1356.76,boleto,entregue
PED00152,2024-10-29,CLI6766,São Paulo,SP,Calçados,Sandalia Havaianas,1,58.14,58.14,6.94,51.2,pix,entregue
PED00153,2024-05-26,CLI2479,Rio de Janeiro,RJ,Esporte,Kit Musculacao,4,215.04,860.16,0.0,860.16,pix,cancelado
PED00154,2024-01-22,CLI4084,Recife,PE,Alimentos,Whey Protein 2kg,4,212.85,851.4,94.37,757.03,cartão débito,cancelado
PED00155,2024-06-24,CLI2381,Florianópolis,SC,Brinquedos,Carrinho Hot Wheels,2,58.52,117.04,0.0,117.04,pix,em transporte
PED00156,2024-11-08,CLI6962,Belo Horizonte,MG,Calçados,Tenis Nike,2,497.67,995.34,78.24,917.1,cartão débito,entregue
PED00157,2024-11-19,CLI6482,Goiânia,GO,Livros,Python para Dados,3,134.31,402.93,0.0,402.93,cartão crédito,entregue
PED00158,2024-11-04,CLI6461,Belo Horizonte,MG,Roupas,Vestido Floral,4,143.99,575.96,56.72,519.24,cartão crédito,cancelado
PED00159,2024-10-31,CLI2388,Florianópolis,SC,Calçados,Sandalia Havaianas,3,88.06,264.18,15.53,248.65,cartão débito,cancelado
PED00160,2024-12-16,CLI2531,Manaus,AM,Livros,Sapiens,3,80.66,241.98,30.09,211.89,boleto,em transporte
PED00161,2024-04-19,CLI8967,Salvador,BA,Livros,Sapiens,3,40.91,122.73,0.0,122.73,cartão crédito,entregue
PED00162,2024-10-03,CLI9626,Florianópolis,SC,Calçados,Tenis Nike,1,353.53,353.53,26.92,326.61,cartão crédito,em transporte
PED00163,2024-04-02,CLI3712,Florianópolis,SC,Beleza,Secador Profissional,2,329.17,658.34,0.0,658.34,boleto,entregue
PED00164,2024-08-15,CLI5668,Belém,PA,Eletrônicos,Fone Bluetooth,3,319.09,957.27,0.0,957.27,boleto,processando
PED00165,2024-04-09,CLI8218,Salvador,BA,Brinquedos,LEGO City,5,271.75,1358.75,159.86,1198.89,pix,processando
PED00166,2024-11-05,CLI5096,Belo Horizonte,MG,Esporte,Kit Musculacao,5,410.98,2054.9,251.79,1803.11,cartão crédito,em transporte
PED00167,2024-03-04,CLI2374,Porto Alegre,RS,Brinquedos,Boneca Barbie,5,192.12,960.6,74.34,886.26,cartão crédito,entregue
PED00168,2024-04-23,CLI6727,Recife,PE,Brinquedos,Carrinho Hot Wheels,2,54.09,108.18,0.0,108.18,cartão crédito,entregue
PED00169,2024-02-11,CLI4678,Salvador,BA,Eletrônicos,Fone Bluetooth,5,243.49,1217.45,0.0,1217.45,cartão crédito,entregue
PED00170,2024-05-26,CLI3273,Recife,PE,Roupas,Vestido Floral,3,240.36,721.08,0.0,721.08,boleto,entregue
PED00171,2024-04-20,CLI9991,Belo Horizonte,MG,Brinquedos,Carrinho Hot Wheels,1,56.71,56.71,0.0,56.71,boleto,cancelado
PED00172,2024-03-03,CLI4906,São Paulo,SP,Alimentos,Whey Protein 2kg,1,244.19,244.19,0.0,244.19,pix,em transporte
PED00173,2024-01-09,CLI9443,Goiânia,GO,Informática,Teclado Mecanico,1,244.34,244.34,21.87,222.47,pix,entregue
PED00174,2024-10-19,CLI4068,Fortaleza,CE,Calçados,Sandalia Havaianas,4,30.09,120.36,0.0,120.36,boleto,em transporte
PED00175,2024-09-16,CLI1333,Manaus,AM,Roupas,Vestido Floral,3,102.86,308.58,0.0,308.58,pix,processando
PED00176,2024-01-09,CLI2106,Salvador,BA,Brinquedos,LEGO City,4,494.31,1977.24,0.0,1977.24,cartão débito,entregue
PED00177,2024-06-22,CLI3868,Goiânia,GO,Roupas,Vestido Floral,3,115.35,346.05,0.0,346.05,boleto,entregue
PED00178,2024-08-22,CLI5807,São Paulo,SP,Brinquedos,Carrinho Hot Wheels,2,53.4,106.8,0.0,106.8,cartão crédito,entregue
PED00179,2024-10-05,CLI5150,Recife,PE,Casa e Jardim,Jogo de Panelas,3,383.34,1150.02,0.0,1150.02,cartão crédito,processando
PED00180,2024-12-01,CLI5476,Salvador,BA,Casa e Jardim,Aspirador Robo,3,1117.28,3351.84,0.0,3351.84,cartão crédito,processando
PED00181,2024-04-05,CLI9151,Recife,PE,Beleza,Kit Skincare,4,169.2,676.8,39.25,637.55,cartão débito,processando
PED00182,2024-11-04,CLI9937,Belo Horizonte,MG,Alimentos,Whey Protein 2kg,1,236.33,236.33,0.0,236.33,cartão débito,entregue
PED00183,2024-11-04,CLI7981,Florianópolis,SC,Roupas,Camiseta Polo,3,119.48,358.44,0.0,358.44,cartão crédito,em transporte
PED00184,2024-08-10,CLI1939,Porto Alegre,RS,Brinquedos,Boneca Barbie,4,85.08,340.32,18.0,322.32,cartão crédito,em transporte
PED00185,2024-03-14,CLI8179,Belém,PA,Livros,Python para Dados,5,144.09,720.45,102.97,617.48,cartão crédito,entregue
PED00186,2024-03-19,CLI8371,Goiânia,GO,Roupas,Camiseta Polo,3,92.59,277.77,1.35,276.42,cartão débito,entregue
PED00187,2024-06-09,CLI5566,Goiânia,GO,Brinquedos,LEGO City,5,241.31,1206.55,0.0,1206.55,cartão crédito,entregue
PED00188,2024-10-14,CLI5288,Rio de Janeiro,RJ,Eletrônicos,Smart TV 50pol,2,2498.66,4997.32,0.0,4997.32,cartão débito,em transporte
PED00189,2024-03-03,CLI2213,Belo Horizonte,MG,Brinquedos,LEGO City,5,285.67,1428.35,105.24,1323.11,pix,entregue
PED00190,2024-05-28,CLI3580,Porto Alegre,RS,Brinquedos,LEGO City,3,400.35,1201.05,99.09,1101.96,boleto,em transporte
PED00191,2024-05-01,CLI1430,Recife,PE,Calçados,Sandalia Havaianas,5,43.45,217.25,25.81,191.44,cartão débito,cancelado
PED00192,2024-11-09,CLI2077,Rio de Janeiro,RJ,Informática,Teclado Mecanico,4,521.46,2085.84,0.0,2085.84,cartão débito,entregue
PED00193,2024-06-11,CLI2215,Goiânia,GO,Brinquedos,Carrinho Hot Wheels,4,51.92,207.68,2.3,205.38,pix,entregue
PED00194,2024-04-03,CLI8088,Belo Horizonte,MG,Alimentos,Whey Protein 2kg,2,260.47,520.94,49.99,470.95,pix,processando
PED00195,2024-06-14,CLI4694,Florianópolis,SC,Eletrônicos,Smartphone Samsung,5,1551.94,7759.7,0.0,7759.7,cartão débito,cancelado
PED00196,2024-11-16,CLI9740,Porto Alegre,RS,Esporte,Bicicleta MTB,3,1133.71,3401.13,140.02,3261.11,cartão crédito,cancelado
PED00197,2024-11-05,CLI1674,Salvador,BA,Calçados,Bota Couro,5,246.26,1231.3,133.1,1098.2,cartão crédito,entregue
